countGenderMixHard,countIncompatibleRoomsHard,countOvercrowdedCapacityHard,countUnadmittedMandatoryHard,countLateAdmittedMandatoryHard,countSurgeonOvertimeHard,countOTOvertimeHard,countUncoveredRoomHard,countNursePresentOnWrongDayHard,countMixedAgeGroups,countMinimumSkillLevelExceeded,countUncontinuousCare,countMaximumWorkloadExcceeded,countOpenOTs,countSurgeonTransfer,countAdmissionDelay,countUncheduledOptional,countTotalHard,countTotalSoft, res
62,36,151,0,0,14,3,328,0,43,555,467,2664,30,21,753,3,594,4536,14892457.000000
74,25,149,0,0,14,2,284,0,45,611,515,3060,31,21,719,6,548,5008,13747485.000000
70,31,124,0,0,13,4,292,0,36,590,450,2732,31,21,764,5,534,4629,13394085.000000
73,43,139,0,0,13,4,284,0,52,850,516,3044,32,21,791,6,556,5312,13950511.000000
65,51,140,0,0,13,3,283,0,47,945,531,3604,34,21,796,1,555,5979,13930931.000000
66,35,138,0,0,12,2,249,0,52,632,569,3445,33,21,760,5,502,5517,12601874.000000
77,47,156,0,0,13,3,326,0,39,683,465,2618,31,21,776,3,622,4636,15593525.000000
70,18,150,0,0,14,4,276,0,41,706,467,2700,32,21,767,6,532,4740,13345287.000000
80,60,149,0,0,16,3,279,0,58,697,530,2919,34,21,820,4,587,5083,14722645.000000
73,30,128,0,0,11,3,274,0,43,627,466,3037,30,21,723,8,519,4955,13022856.000000
77,33,141,0,0,15,5,311,0,43,436,397,2087,31,21,776,4,582,3795,14585947.000000
73,56,143,0,0,11,2,314,0,57,583,446,2791,33,21,728,4,599,4663,15019176.000000
82,26,142,0,0,14,5,233,0,55,853,575,3497,31,21,733,5,502,5770,12604275.000000
64,40,144,0,0,13,2,260,0,49,521,518,2812,32,21,764,6,523,4723,13119618.000000
69,20,136,0,0,10,3,280,0,45,674,533,2924,30,21,844,2,518,5073,12996983.000000
67,27,151,0,0,12,5,287,0,47,856,488,2922,29,21,755,3,549,5121,13773068.000000
60,43,137,0,0,14,5,262,0,45,680,583,3052,28,21,828,4,521,5241,13073633.000000
65,31,142,0,0,13,3,276,0,50,734,529,3264,34,21,724,4,530,5360,13300464.000000
75,32,152,0,0,17,4,333,0,51,542,472,2413,32,21,720,3,613,4254,15364612.000000
60,45,140,0,0,14,3,301,0,54,532,526,2658,32,21,773,3,563,4599,14117561.000000
72,7,155,0,0,12,4,287,0,44,840,501,3138,34,21,692,9,537,5279,13476136.000000
73,35,136,0,0,13,2,266,0,57,742,520,3296,32,21,771,6,525,5445,13176780.000000
63,44,139,0,0,14,5,285,0,39,526,525,3120,33,21,814,3,550,5081,13797495.000000
76,26,143,0,0,14,3,270,0,45,678,507,3016,31,21,756,7,532,5061,13348327.000000
80,20,133,0,0,14,2,279,0,42,809,467,3137,30,21,740,9,528,5255,13251092.000000
69,46,139,0,0,12,2,285,0,48,783,482,2737,31,21,774,5,553,4881,13871257.000000
76,29,155,0,0,14,3,312,0,46,600,495,2769,30,21,619,7,589,4587,14768660.000000
72,25,136,0,0,12,3,261,0,49,809,554,3447,34,21,768,3,509,5685,12778254.000000
67,42,151,0,0,17,5,298,0,56,898,560,3126,31,21,704,4,580,5400,14550465.000000
87,37,132,0,0,14,3,285,0,43,793,443,2737,31,21,717,6,558,4791,13995973.000000
77,51,133,0,0,12,4,271,0,54,865,479,3195,33,21,848,1,548,5496,13751504.000000
75,35,140,0,0,14,4,297,0,45,475,464,2796,30,21,722,8,565,4561,14168924.000000
72,34,142,0,0,12,5,268,0,50,764,507,3277,29,21,728,5,533,5381,13375962.000000
43,10,143,0,0,14,4,267,0,46,827,572,3134,31,21,661,7,481,5299,12075117.000000
60,32,137,0,0,14,5,270,0,47,533,501,2778,32,21,713,2,518,4627,12992861.000000
81,25,141,0,0,14,3,274,0,51,634,472,2798,30,21,712,6,538,4724,13494972.000000
86,34,153,0,0,13,4,282,0,42,838,556,3759,31,21,716,4,572,5967,14356241.000000
73,31,122,0,0,13,3,244,0,46,649,464,2430,32,21,835,6,486,4483,12192719.000000
67,26,146,0,0,13,5,268,0,43,673,569,3367,31,21,758,3,525,5465,13175859.000000
55,31,138,0,0,13,4,260,0,41,645,508,3176,30,21,758,6,501,5185,12574308.000000
55,5,133,0,0,11,2,259,0,56,750,507,3077,32,21,657,6,465,5106,11673512.000000
70,37,148,0,0,15,3,322,0,51,675,482,2681,33,21,756,6,595,4705,14919782.000000
78,14,153,0,0,14,3,313,0,53,665,527,3488,32,21,720,1,575,5507,14426157.000000
63,28,138,0,0,14,3,268,0,47,795,519,3170,32,21,750,8,514,5342,12901289.000000
84,34,147,0,0,15,3,316,0,51,764,527,2822,33,21,778,0,599,4996,15020847.000000
83,27,152,0,0,15,4,306,0,47,585,447,2538,31,21,698,5,587,4372,14716487.000000
71,34,143,0,0,14,4,293,0,51,762,470,2956,31,21,688,7,559,4986,14022880.000000
79,40,151,0,0,15,3,289,0,62,577,512,3116,31,21,745,3,577,5067,14472297.000000
73,32,162,0,0,15,3,305,0,46,759,569,3336,34,21,666,4,590,5435,14800874.000000
84,32,140,0,0,13,3,284,0,47,631,482,2916,34,21,819,3,556,4953,13946592.000000
74,22,140,0,0,13,2,283,0,45,691,462,2700,30,21,687,11,534,4647,13395522.000000
48,35,141,0,0,13,3,293,0,54,590,433,2779,33,21,884,6,533,4800,13371158.000000
73,33,137,0,0,14,2,271,0,44,843,515,3198,31,21,767,5,530,5424,13301410.000000
71,40,146,0,0,13,4,283,0,49,684,496,2499,31,21,745,4,557,4529,13967366.000000
53,24,133,0,0,14,4,285,0,40,484,480,2811,32,21,681,11,513,4560,12869575.000000
59,43,156,0,0,15,5,316,0,59,650,456,2906,31,21,695,5,594,4823,14895856.000000
68,29,153,0,0,14,3,293,0,47,649,488,2339,29,21,746,8,560,4327,14041328.000000
79,47,140,0,0,14,3,288,0,48,615,445,2771,34,21,668,8,571,4610,14319690.000000
65,29,139,0,0,12,3,284,0,43,668,438,2640,32,21,743,6,532,4591,13344048.000000
69,29,144,0,0,12,3,258,0,59,776,538,3012,32,21,759,3,515,5200,12923438.000000
